Down-log2(FC)	Down-entry	Down-mgi_symbol	Down-refseq_mrna	Down-entrezgene	Down-description
-3.32750923582294	1479	D330045A20Rik	0	102871	RIKEN cDNA D330045A20 gene [Source:MGI Symbol
-3.32280677211309	1895	Il1rl2	0	107527	interleukin 1 receptor-like 2 [Source:MGI Symbol
-3.32227334567567	236	Ifrd1	NM_013562	15982	interferon-related developmental regulator 1 [Source:MGI Symbol
-3.31678160993461	2578	Magi3	NM_133853	99470	membrane associated guanylate kinase
-3.30371674896963	3952	Mmp28	NM_172797	118453	matrix metallopeptidase 28 (epilysin) [Source:MGI Symbol
-3.30064556150097	670	Gm4955	0	102639543	predicted gene 4955 [Source:MGI Symbol
-3.29956906660645	35	Sh2b2	0	23921	SH2B adaptor protein 2 [Source:MGI Symbol
-3.29789529887651	107	Gm6977	0	NA	predicted gene 6977 [Source:MGI Symbol
-3.29740942459728	3411	Dcbld2	NM_028523	73379	discoidin
-3.28590341561774	3605	Cxcl10	0	15945	chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol
-3.27925499957643	1999	Gm7609	0	NA	predicted pseudogene 7609 [Source:MGI Symbol
-3.26889280365026	1952	Il7	NM_008371	16196	interleukin 7 [Source:MGI Symbol
-3.26660279186709	484	Sod2	NM_013671	20656	superoxide dismutase 2
-3.25273017712442	1472	Ly6i	NM_020498	57248	lymphocyte antigen 6 complex
-3.25113972436268	702	Ankrd66	NM_001254953	100043332	ankyrin repeat domain 66 [Source:MGI Symbol
-3.25099221600946	1866	Nr1h3	0	22259	nuclear receptor subfamily 1
-3.24635589712388	1030	Aqp9	NM_022026	64008	aquaporin 9 [Source:MGI Symbol
-3.24313804718748	45	Gde1	NM_019580	56209	glycerophosphodiester phosphodiesterase 1 [Source:MGI Symbol
-3.24288562337018	2469	Fas	NM_007987	14102	Fas (TNF receptor superfamily member 6) [Source:MGI Symbol
-3.24264964137932	1115	Nyap2	0	241134	neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2 [Source:MGI Symbol
-3.23869738421781	1652	Itga5	NM_010577	16402	integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol
-3.23393575345728	1684	Mreg	NM_001005423	381269	melanoregulin [Source:MGI Symbol
-3.23031133632954	1124	Stx11	NM_001163590	74732	syntaxin 11 [Source:MGI Symbol
-3.22649679525753	2950	Kalrn	NM_001164268	545156	kalirin
-3.22188313933722	965	Cd274	NM_021893	60533	CD274 antigen [Source:MGI Symbol
-3.21065384131013	2704	Rhoh	0	74734	ras homolog family member H [Source:MGI Symbol
-3.20942857028536	1742	Nfkbie	NM_008690	18037	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor
-3.2020412361625	3414	Prm1	NM_013637	19118	protamine 1 [Source:MGI Symbol
-3.20073967932391	1375	Cacna1b	NM_007579	12287	calcium channel
-3.19431217633858	728	Cebpb	NM_009883	12608	CCAAT/enhancer binding protein (C/EBP)
-3.18596615728801	330	Zfp462	0	242466	zinc finger protein 462 [Source:MGI Symbol
-3.17350182305147	322	Tspan13	NM_025359	66109	tetraspanin 13 [Source:MGI Symbol
-3.16964870465518	2043	Csprs	NM_033616	114564	component of Sp100-rs [Source:MGI Symbol
-3.16962902957545	3615	Phlda1	NM_009344	21664	pleckstrin homology like domain
-3.16262114278547	2073	G530011O06Rik	0	NA	RIKEN cDNA G530011O06 gene [Source:MGI Symbol
-3.15746693817072	824	Zfp503	NM_145459	218820	zinc finger protein 503 [Source:MGI Symbol
-3.15583740154693	254	Osbp2	NM_001302630	74309	oxysterol binding protein 2 [Source:MGI Symbol
-3.1539373989257	1655	Azin2	NM_001301841	242669	antizyme inhibitor 2 [Source:MGI Symbol
-3.14752885992347	2497	Abtb2	NM_178890	99382	ankyrin repeat and BTB (POZ) domain containing 2 [Source:MGI Symbol
-3.13349482177095	82	Rnf128	NM_001254761	66889	ring finger protein 128 [Source:MGI Symbol
-3.12971277397619	2895	Trim72	0	434246	tripartite motif-containing 72 [Source:MGI Symbol
-3.12618154561082	984	0	0	NA	0
-3.11573433054343	542	Emp1	0	13730	epithelial membrane protein 1 [Source:MGI Symbol
-3.11381881094772	153	Lhfpl2	NM_172589	218454	lipoma HMGIC fusion partner-like 2 [Source:MGI Symbol
-3.10298325246522	446	Mmp14	NM_008608	17387	matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol
-3.10281503244879	1404	Nupr1	NM_019738	56312	nuclear protein transcription regulator 1 [Source:MGI Symbol
-3.10220731560535	338	Spsb1	NM_029035	74646	splA/ryanodine receptor domain and SOCS box containing 1 [Source:MGI Symbol
-3.09087579743227	313	Mmp13	NM_008607	17386	matrix metallopeptidase 13 [Source:MGI Symbol
-3.08553427482745	875	Lilrb4a	0	14728	leukocyte immunoglobulin-like receptor
-3.08504721369333	945	Ntn1	0	18208	netrin 1 [Source:MGI Symbol
-3.08447424325919	1978	Ccne1	NM_007633	12447	cyclin E1 [Source:MGI Symbol
-3.08295262488898	309	Gm7204	0	NA	predicted pseudogene 7204 [Source:MGI Symbol
-3.07816114407762	1498	C030037D09Rik	0	NA	RIKEN cDNA C030037D09 gene [Source:MGI Symbol
-3.07740396065312	456	Pvr	NM_027514	52118	poliovirus receptor [Source:MGI Symbol
-3.07362803976912	3269	Map1b	NM_008634	17755	microtubule-associated protein 1B [Source:MGI Symbol
-3.06921489274205	1520	Osgin2	NM_145950	209212	oxidative stress induced growth inhibitor family member 2 [Source:MGI Symbol
-3.06743892245119	323	Srgn	0	19073	serglycin [Source:MGI Symbol
-3.06651017973461	238	Car13	NM_024495	71934	carbonic anhydrase 13 [Source:MGI Symbol
-3.06267636077262	543	Fam20c	NM_030565	80752	family with sequence similarity 20
-3.06133220079343	3280	Gm43814	0	NA	predicted gene 43814 [Source:MGI Symbol
-3.05892431121806	1561	Zeb1	NM_011546	21417	zinc finger E-box binding homeobox 1 [Source:MGI Symbol
-3.05686754565799	2389	Csrnp1	NM_153287	215418	cysteine-serine-rich nuclear protein 1 [Source:MGI Symbol
-3.05517955129783	1288	Mill2	NM_153761	243864	MHC I like leukocyte 2 [Source:MGI Symbol
-3.0394758945166	302	B430306N03Rik	NM_177083	320148	RIKEN cDNA B430306N03 gene [Source:MGI Symbol
-3.03799504373715	2019	Wdr78	0	242584	WD repeat domain 78 [Source:MGI Symbol
-3.03755104948274	2170	Larp1b	NM_001040399	214048	La ribonucleoprotein domain family
-3.02205192112501	3130	Hdc	NM_008230	15186	histidine decarboxylase [Source:MGI Symbol
-3.01538167418521	506	Plcxd2	NM_001134480	433022	phosphatidylinositol-specific phospholipase C
-3.00170451143525	3249	Gm26616	0	NA	predicted gene
-3.00102015663711	2333	2310031A07Rik	0	NA	RIKEN cDNA 2310031A07 gene [Source:MGI Symbol
-2.9985720109745	4654	Gm44292	0	NA	predicted gene
-2.9913479562336	1650	Tlcd2	0	380712	TLC domain containing 2 [Source:MGI Symbol
-2.98422245235587	1266	Gm21742	0	NA	predicted gene
-2.98313607031463	201	Rbpms	NM_001042674	19663	RNA binding protein gene with multiple splicing [Source:MGI Symbol
-2.97536024211528	1292	Hrh2	NM_001010973	15466	histamine receptor H2 [Source:MGI Symbol
-2.97474124096245	2594	Nrg4	0	83961	neuregulin 4 [Source:MGI Symbol
-2.97294600242792	3968	Myo16	0	244281	myosin XVI [Source:MGI Symbol
-2.95702011730049	1074	Naip3	0	NA	NLR family
-2.95090621192286	2104	Hrh1	NM_001317124	15465	histamine receptor H1 [Source:MGI Symbol
-2.94050715868057	1073	Napb	NM_019632	17957	N-ethylmaleimide sensitive fusion protein attachment protein beta [Source:MGI Symbol
-2.93506296080087	3314	Mefv	NM_019453	54483	Mediterranean fever [Source:MGI Symbol
-2.92276043694539	958	Cflar	0	12633	CASP8 and FADD-like apoptosis regulator [Source:MGI Symbol
-2.92107512120623	2140	Ell2	NM_138953	192657	elongation factor RNA polymerase II 2 [Source:MGI Symbol
-2.91737533246642	691	Rgl1	0	19731	ral guanine nucleotide dissociation stimulator
-2.91652284595468	767	Tnfaip8l3	NM_001033535	244882	tumor necrosis factor
-2.91318481736839	4030	Crim1	NM_015800	50766	cysteine rich transmembrane BMP regulator 1 (chordin like) [Source:MGI Symbol
-2.90489291523672	1083	Bambi-ps1	0	NA	BMP and activin membrane-bound inhibitor
-2.88116679469314	1459	Uchl1	NM_011670	22223	ubiquitin carboxy-terminal hydrolase L1 [Source:MGI Symbol
-2.87666204119777	3147	Slc6a12	0	14411	solute carrier family 6 (neurotransmitter transporter
-2.87269896712886	3536	Gm5150	0	381484	predicted gene 5150 [Source:MGI Symbol
-2.86370338211159	1579	Cd69	NM_001033122	12515	CD69 antigen [Source:MGI Symbol
-2.85324167627248	3529	Focad	0	230393	focadhesin [Source:MGI Symbol
-2.84720769281634	4336	Pilra	NM_153510	231805	paired immunoglobin-like type 2 receptor alpha [Source:MGI Symbol
-2.84687424038624	4253	Adgb	0	215772	androglobin [Source:MGI Symbol
-2.83569720846267	1434	H2-Q7	NM_010394	15018	histocompatibility 2
-2.83264701310459	1159	Aox1	NM_009676	11761	aldehyde oxidase 1 [Source:MGI Symbol
-2.82478029899701	388	Adamtsl5	0	66548	ADAMTS-like 5 [Source:MGI Symbol
-2.82308654152957	1057	Treml4	NM_172623	224840	triggering receptor expressed on myeloid cells-like 4 [Source:MGI Symbol
-2.81810527911067	1353	Map6	0	17760	microtubule-associated protein 6 [Source:MGI Symbol
-2.81788736177065	487	Ms4a6d	NM_026835	68774	membrane-spanning 4-domains
-2.81412152951421	705	Atp10a	0	11982	ATPase
-2.81400686504672	905	Irf7	NM_001252601	54123	interferon regulatory factor 7 [Source:MGI Symbol
-2.81083490200592	760	Mfsd4b3	NM_001173500	100041085	major facilitator superfamily domain containing 4B3 [Source:MGI Symbol
-2.81020295708641	778	Mdm2	NM_010786	17246	transformed mouse 3T3 cell double minute 2 [Source:MGI Symbol
-2.79447708958137	857	Mfsd8	NM_028140	72175	major facilitator superfamily domain containing 8 [Source:MGI Symbol
-2.79439239729788	1363	Pkp2	0	67451	plakophilin 2 [Source:MGI Symbol
-2.79262884711177	829	Lilr4b	NM_008147	14727	leukocyte immunoglobulin-like receptor
-2.78095620866269	4045	Gm29367	0	NA	predicted gene 29367 [Source:MGI Symbol
-2.78073397875737	708	Kdr	NM_010612	16542	kinase insert domain protein receptor [Source:MGI Symbol
-2.77993765817805	618	Ifit2	NM_008332	15958	interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol
-2.77837232171426	531	Gm15726	0	NA	predicted gene 15726 [Source:MGI Symbol
-2.77338199507221	2631	Ripk2	NM_138952	192656	receptor (TNFRSF)-interacting serine-threonine kinase 2 [Source:MGI Symbol
-2.77286317465277	1522	Tgm2	NM_009373	21817	transglutaminase 2
-2.76404366580725	2110	Plekha4	0	69217	pleckstrin homology domain containing
-2.76277713750882	2476	Slc43a3	NM_021398	58207	solute carrier family 43
-2.75430519716235	1296	Il13ra1	NM_133990	16164	interleukin 13 receptor
-2.75193167570685	1256	Ptgir	NM_008967	19222	prostaglandin I receptor (IP) [Source:MGI Symbol
-2.74668307658315	1536	Thbs1	NM_001313914	21825	thrombospondin 1 [Source:MGI Symbol
-2.74607122025509	4041	Colgalt2	0	269132	collagen beta(1-O)galactosyltransferase 2 [Source:MGI Symbol
-2.74461982199289	442	Btbd19	0	NA	BTB (POZ) domain containing 19 [Source:MGI Symbol
-2.73999871599727	3790	Pakap	0	11641	paralemmin A kinase anchor protein [Source:MGI Symbol
-2.73690317028279	150	Esd	NM_016903	13885	esterase D/formylglutathione hydrolase [Source:MGI Symbol
-2.7309251878151	438	BC022687	NM_145450	217887	cDNA sequence BC022687 [Source:MGI Symbol
-2.73088068147602	221	Me1	NM_008615	17436	malic enzyme 1
-2.73065394817036	431	Dennd2a	NM_172477	209773	DENN/MADD domain containing 2A [Source:MGI Symbol
-2.72575615709319	613	Mcf2l	0	17207	mcf.2 transforming sequence-like [Source:MGI Symbol
-2.72467608301697	2179	Casp4	0	12363	caspase 4
-2.71650087123057	1733	Crem	NM_001110858	12916	cAMP responsive element modulator [Source:MGI Symbol
-2.71364026052184	4294	Gm20186	0	NA	predicted gene
-2.7034277249577	1842	E030030I06Rik	0	319887	RIKEN cDNA E030030I06 gene [Source:MGI Symbol
-2.70321854991315	1373	Gab1	NM_001301298	14388	growth factor receptor bound protein 2-associated protein 1 [Source:MGI Symbol
-2.68990511945767	763	Tuba1a	NM_011653	22142	tubulin
-2.68237756142419	371	Gpc1	NM_016696	14733	glypican 1 [Source:MGI Symbol
-2.67457214325602	1611	1600014C10Rik	0	72244	RIKEN cDNA 1600014C10 gene [Source:MGI Symbol
-2.66804840464723	1052	Serpine2	NM_009255	20720	serine (or cysteine) peptidase inhibitor
-2.66719738352015	3978	0	0	NA	0
-2.66157764033214	1012	Jdp2	NM_001205052	81703	Jun dimerization protein 2 [Source:MGI Symbol
-2.658990952302	4219	Slc2a6	NM_001177627	227659	solute carrier family 2 (facilitated glucose transporter)
-2.64783823926545	2171	H2-K2	0	NA	histocompatibility 2
-2.6411744372126	548	Fignl2	NM_001214911	668225	fidgetin-like 2 [Source:MGI Symbol
-2.64074393380268	2314	Gm15133	0	NA	predicted gene 15133 [Source:MGI Symbol
-2.64031075830794	2548	Abhd1	0	NA	abhydrolase domain containing 1 [Source:MGI Symbol
-2.63694848381559	6278	Tmem178	NM_026516	68027	transmembrane protein 178 [Source:MGI Symbol
-2.63529427755071	2013	Il1r1	NM_008362	16177	interleukin 1 receptor
-2.6324129166498	3520	Btg3	NM_009770	12228	B cell translocation gene 3 [Source:MGI Symbol
-2.63232872326896	4130	Malt1	NM_172833	240354	MALT1 paracaspase [Source:MGI Symbol
-2.62949896031512	142	Gsr	0	14782	glutathione reductase [Source:MGI Symbol
-2.62801171702424	1454	Msr1	NM_001113326	20288	macrophage scavenger receptor 1 [Source:MGI Symbol
-2.62650024058841	1070	Slc31a2	0	20530	solute carrier family 31
-2.62449223458128	212	Serpinb9	0	20723	serine (or cysteine) peptidase inhibitor
-2.62184473216238	634	Cd164	NM_016898	53599	CD164 antigen [Source:MGI Symbol
-2.6202245666468	1547	Dtx2	NM_001256096	74198	deltex 2
-2.61961529237203	2021	Dab2ip	0	69601	disabled 2 interacting protein [Source:MGI Symbol
-2.61738145761115	1352	Gpr68	NM_175493	238377	G protein-coupled receptor 68 [Source:MGI Symbol
-2.61711406415113	4831	Mtmr7	0	54384	myotubularin related protein 7 [Source:MGI Symbol
-2.61487738704922	1867	Rffl	0	67338	ring finger and FYVE like domain containing protein [Source:MGI Symbol
-2.60111204694533	1981	Zc3h12c	NM_001162921	244871	zinc finger CCCH type containing 12C [Source:MGI Symbol
-2.60020847064133	191	Grina	NM_023168	66168	glutamate receptor
-2.59468328027465	1106	Tcta	NM_133986	102791	T cell leukemia translocation altered gene [Source:MGI Symbol
-2.59213646372424	2613	Dusp16	NM_001048054	70686	dual specificity phosphatase 16 [Source:MGI Symbol
-2.59068854647927	812	Trib3	NM_175093	228775	tribbles pseudokinase 3 [Source:MGI Symbol
-2.58685152699989	3017	Prx	NM_198048	19153	periaxin [Source:MGI Symbol
-2.57892230845271	576	H60b	NM_001177775	667281	histocompatibility 60b [Source:MGI Symbol
-2.57704903935493	200	Osm	NM_001013365	18413	oncostatin M [Source:MGI Symbol
-2.57582969940877	4404	Cdc42ep2	NM_026772	104252	CDC42 effector protein (Rho GTPase binding) 2 [Source:MGI Symbol
-2.56920162473743	891	A930007I19Rik	0	NA	RIKEN cDNA A930007I19 gene [Source:MGI Symbol
-2.56821204691785	470	0	0	NA	0
-2.56752821299514	1401	Traf2	NM_009422	22030	TNF receptor-associated factor 2 [Source:MGI Symbol
-2.56059220093025	1963	Hspa4l	0	18415	heat shock protein 4 like [Source:MGI Symbol
-2.55288528936667	61	Mcoln2	NM_026656	68279	mucolipin 2 [Source:MGI Symbol
-2.55067046631926	1101	Ankrd42	0	73845	ankyrin repeat domain 42 [Source:MGI Symbol
-2.54994887939578	155	Srxn1	0	76650	sulfiredoxin 1 homolog (S. cerevisiae) [Source:MGI Symbol
-2.54894954051884	1807	Shf	0	435684	Src homology 2 domain containing F [Source:MGI Symbol
-2.54743826689932	688	Aplp1	NM_007467	11803	amyloid beta (A4) precursor-like protein 1 [Source:MGI Symbol
-2.54544312317853	674	Bbs4	NM_175325	102774	Bardet-Biedl syndrome 4 (human) [Source:MGI Symbol
-2.54418400526459	2288	Ms4a4a	NM_001310331	666907	membrane-spanning 4-domains
-2.53926895776354	714	Plk3	0	12795	polo-like kinase 3 [Source:MGI Symbol
-2.53746441964278	1406	Rgcc	NM_025427	66214	regulator of cell cycle [Source:MGI Symbol
-2.53122611327002	2545	0	0	NA	0
-2.52745923249335	823	Agpat4	0	68262	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase
-2.52283072589278	525	Xaf1	0	327959	XIAP associated factor 1 [Source:MGI Symbol
-2.51684016770817	565	Rab20	NM_011227	19332	RAB20
-2.5110207532374	798	Slc15a3	0	65221	solute carrier family 15
-2.50866859046592	481	Stxbp3	NM_011504	20912	syntaxin binding protein 3 [Source:MGI Symbol
-2.50711425030532	1827	Mt2	NM_008630	17750	metallothionein 2 [Source:MGI Symbol
-2.50570110517193	2866	C3	NM_009778	12266	complement component 3 [Source:MGI Symbol
-2.50387248869389	1659	Slamf6	0	30925	SLAM family member 6 [Source:MGI Symbol
-2.50279425905872	1513	P4ha2	0	18452	procollagen-proline
-2.50049094404625	3086	Igf2bp2	NM_183029	319765	insulin-like growth factor 2 mRNA binding protein 2 [Source:MGI Symbol
-2.5003124723239	1416	Hist1h2bc	NM_023422	68024	histone cluster 1
-2.5000260165164	2010	Slfn1	NM_011407	20555	schlafen 1 [Source:MGI Symbol
-2.49975725422079	2087	Hmcn2	0	NA	hemicentin 2 [Source:MGI Symbol
-2.49793022385229	1971	Gm1070	0	NA	predicted gene 1070 [Source:MGI Symbol
-2.49644851996287	1819	Phf11a	NM_172603	219131	PHD finger protein 11A [Source:MGI Symbol
-2.49205493879321	472	AW112010	0	NA	expressed sequence AW112010 [Source:MGI Symbol
-2.48504251363482	861	Plekhn1	NM_001008233	231002	pleckstrin homology domain containing
-2.48446124152851	733	Gdf15	NM_011819	23886	growth differentiation factor 15 [Source:MGI Symbol
-2.48112859101436	6433	Dnah12	0	NA	dynein
-2.47823681984701	1976	Cfb	0	14962	complement factor B [Source:MGI Symbol
-2.47342410012712	2934	2010109I03Rik	0	67038	RIKEN cDNA 2010109I03 gene [Source:MGI Symbol
-2.47248062914083	270	Samd8	NM_026283	67630	sterile alpha motif domain containing 8 [Source:MGI Symbol
-2.46922057601955	286	Galnt6	NM_172451	207839	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 [Source:MGI Symbol
-2.46844728228628	703	Bend6	NM_001310484	320705	BEN domain containing 6 [Source:MGI Symbol
-2.46253291731618	434	Flrt2	NM_201518	399558	fibronectin leucine rich transmembrane protein 2 [Source:MGI Symbol
-2.45833029843207	3784	Micalcl	NM_027587	100504195	MICAL C-terminal like [Source:MGI Symbol
-2.45557647103414	526	Atf4	NM_001287180	11911	activating transcription factor 4 [Source:MGI Symbol
-2.45478958478709	3675	Gm2666	0	NA	predicted gene 2666 [Source:MGI Symbol
-2.45166088158444	483	E230032D23Rik	0	NA	RIKEN cDNA E230032D23 gene [Source:MGI Symbol
-2.4509594492825	2841	Tnf	NM_013693	21926	tumor necrosis factor [Source:MGI Symbol
-2.44919158543702	1749	Smox	0	228608	spermine oxidase [Source:MGI Symbol
-2.44599032423575	5054	Gm16340	0	NA	predicted gene 16340 [Source:MGI Symbol
-2.4352889723952	915	Spa17	NM_011449	20686	sperm autoantigenic protein 17 [Source:MGI Symbol
-2.43364038930353	789	Airn	0	NA	antisense Igf2r RNA [Source:MGI Symbol
-2.43234296601515	2984	Pfkfb3	NM_001177758	170768	6-phosphofructo-2-kinase/fructose-2
-2.43119738403939	769	1700088E04Rik	0	27660	RIKEN cDNA 1700088E04 gene [Source:MGI Symbol
-2.43013505269957	652	Lrp8	0	16975	low density lipoprotein receptor-related protein 8
-2.42924661625555	1050	F830045P16Rik	NM_177653	228592	RIKEN cDNA F830045P16 gene [Source:MGI Symbol
-2.42822463238312	4332	Vcam1	NM_011693	22329	vascular cell adhesion molecule 1 [Source:MGI Symbol
-2.42814498634191	458	Perm1	NM_172417	74183	PPARGC1 and ESRR induced regulator
-2.42583348962525	2078	Tnfaip3	NM_009397	21929	tumor necrosis factor
-2.41672770117272	5016	Pagr1b	0	NA	PAXIP1 associated glutamate rich protein 1B [Source:MGI Symbol
-2.41340270877271	2327	Klf9	NM_010638	16601	Kruppel-like factor 9 [Source:MGI Symbol
-2.40637149836251	620	Tmem202	NM_178388	73893	transmembrane protein 202 [Source:MGI Symbol
-2.40621463520017	119	Prdx6	NM_007453	11758	peroxiredoxin 6 [Source:MGI Symbol
-2.40536690674612	2937	Il15	NM_001254747	16168	interleukin 15 [Source:MGI Symbol
-2.40387609518076	1897	Gm16464	0	NA	predicted gene 16464 [Source:MGI Symbol
-2.40256799503972	1603	4921536K21Rik	NM_026150	67430	RIKEN cDNA 4921536K21 gene [Source:MGI Symbol
-2.40103957386533	457	Gch1	NM_008102	14528	GTP cyclohydrolase 1 [Source:MGI Symbol
-2.39724353604969	1441	Serf1	0	20365	small EDRK-rich factor 1 [Source:MGI Symbol
-2.39529374423677	1649	H2-T10	0	15024	histocompatibility 2
-2.39379950259139	1324	Pmp22	NM_008885	18858	peripheral myelin protein 22 [Source:MGI Symbol
-2.3910057663635	2205	Cysltr2	NM_133720	70086	cysteinyl leukotriene receptor 2 [Source:MGI Symbol
-2.38704022355881	2784	Rgs1	NM_015811	50778	regulator of G-protein signaling 1 [Source:MGI Symbol
-2.38332203071751	1102	Mtus1	NM_001005864	102103	mitochondrial tumor suppressor 1 [Source:MGI Symbol
-2.38138304422408	2809	Gm15433	0	NA	predicted pseudogene 15433 [Source:MGI Symbol
-2.3635802019832	791	Mok	0	26448	MOK protein kinase [Source:MGI Symbol
-2.36196855583972	4015	Ggct	NM_026637	110175	gamma-glutamyl cyclotransferase [Source:MGI Symbol
-2.35847731271203	4150	Soat2	NM_146064	223920	sterol O-acyltransferase 2 [Source:MGI Symbol
-2.35461340477777	1212	Pnp2	NM_001123371	667034	purine-nucleoside phosphorylase 2 [Source:MGI Symbol
-2.35136375941772	3275	Phf11c	NM_001164289	628705	PHD finger protein 11C [Source:MGI Symbol
-2.35131637238611	1013	Jag1	NM_013822	16449	jagged 1 [Source:MGI Symbol
-2.34925505731809	1344	Pyhin1	NM_175026	236312	pyrin and HIN domain family
-2.34271665885273	1244	Oas1g	NM_011852	23960	2'-5' oligoadenylate synthetase 1G [Source:MGI Symbol
-2.34119264795552	587	Asf1a	NM_025541	66403	anti-silencing function 1A histone chaperone [Source:MGI Symbol
-2.34071254177171	4082	Cpd	NM_007754	12874	carboxypeptidase D [Source:MGI Symbol
-2.33846192507443	419	Adam8	0	11501	a disintegrin and metallopeptidase domain 8 [Source:MGI Symbol
-2.33678979345407	1602	Pydc4	0	623121	pyrin domain containing 4 [Source:MGI Symbol
-2.33249559168071	2673	Ets2	NM_011809	23872	E26 avian leukemia oncogene 2
-2.32875469756984	512	Fam129b	NM_146119	227737	family with sequence similarity 129
-2.32580049931435	1162	Lck	NM_010693	16818	lymphocyte protein tyrosine kinase [Source:MGI Symbol
-2.32068056136329	237	Slc7a8	NM_016972	50934	solute carrier family 7 (cationic amino acid transporter
-2.31792953115789	3329	Gm5424	0	NA	predicted gene 5424 [Source:MGI Symbol
-2.31720862550187	1354	Pla2g2e	NM_012044	26970	phospholipase A2
-2.31644488017871	2982	Atrnl1	NM_181415	226255	attractin like 1 [Source:MGI Symbol
-2.3152901368495	989	Acyp2	NM_029344	75572	acylphosphatase 2
-2.31483239233099	1503	Tnip1	0	57783	TNFAIP3 interacting protein 1 [Source:MGI Symbol
-2.31120547987127	592	Serpinb1b	NM_173052	282663	serine (or cysteine) peptidase inhibitor
-2.31111863721468	2585	Plcd3	0	72469	phospholipase C
-2.30015186558877	922	Pdlim7	0	67399	PDZ and LIM domain 7 [Source:MGI Symbol
-2.29685141712509	4086	Gbp4	0	17472	guanylate binding protein 4 [Source:MGI Symbol
-2.29479061753517	1439	Atf3	NM_007498	11910	activating transcription factor 3 [Source:MGI Symbol
-2.29256297197087	1426	H2-Q4	NM_001143689	15015	histocompatibility 2
-2.29117324662471	1658	Ccdc173	NM_001077684	75051	coiled-coil domain containing 173 [Source:MGI Symbol
-2.29059872609148	897	Csf1	NM_001113529	12977	colony stimulating factor 1 (macrophage) [Source:MGI Symbol
-2.28404591128944	7412	Cp	NM_007752	12870	ceruloplasmin [Source:MGI Symbol
-2.2818029303863	1811	Sfmbt2	0	353282	Scm-like with four mbt domains 2 [Source:MGI Symbol
-2.27974526004252	2241	Slc35e4	0	103710	solute carrier family 35
-2.27812547833316	417	Lyrm1	NM_001285959	73919	LYR motif containing 1 [Source:MGI Symbol
-2.27354137458554	1985	Cyb561	NM_007805	13056	cytochrome b-561 [Source:MGI Symbol
-2.27317471240202	1394	Ccdc134	NM_001326588	76457	coiled-coil domain containing 134 [Source:MGI Symbol
-2.26903679127417	360	2210408F21Rik	0	NA	RIKEN cDNA 2210408F21 gene [Source:MGI Symbol
-2.26587018856351	2609	Eef1a2	NM_007906	13628	eukaryotic translation elongation factor 1 alpha 2 [Source:MGI Symbol
-2.26410373213794	1776	Zmiz1os1	0	NA	Zmiz1 opposite strand 1 [Source:MGI Symbol
-2.26372589782635	1234	Zfp821	NM_001286391	75871	zinc finger protein 821 [Source:MGI Symbol
-2.25784181580087	2129	Gm14270	0	NA	predicted gene 14270 [Source:MGI Symbol
-2.25727943026477	2047	Agpat9	0	231510	1-acylglycerol-3-phosphate O-acyltransferase 9 [Source:MGI Symbol
-2.25718691160024	5472	Gpr132	NM_019925	56696	G protein-coupled receptor 132 [Source:MGI Symbol
-2.25406191327263	779	Zdhhc24	0	70605	zinc finger
-2.25328023509296	1529	Mical2	NM_177282	320878	microtubule associated monooxygenase
-2.25024076075076	553	Sqstm1	NM_001290769	18412	sequestosome 1 [Source:MGI Symbol
-2.24949223734444	1241	Ddit3	NM_007837	13198	DNA-damage inducible transcript 3 [Source:MGI Symbol
-2.24613602565522	5399	Efna2	NM_007909	13637	ephrin A2 [Source:MGI Symbol
-2.24285414486221	776	Phf11d	NM_199015	219132	PHD finger protein 11D [Source:MGI Symbol
-2.24168614621331	3380	Gm13270	0	NA	predicted gene 13270 [Source:MGI Symbol
-2.23525234665077	1915	Pcgf5	NM_029508	76073	polycomb group ring finger 5 [Source:MGI Symbol
-2.2345786319906	1962	Bzrap1	NM_172449	207777	benzodiazepine receptor associated protein 1 [Source:MGI Symbol
-2.23152220447796	2254	Serpini1	0	20713	serine (or cysteine) peptidase inhibitor
-2.22709130404994	1284	Gpr84	NM_030720	80910	G protein-coupled receptor 84 [Source:MGI Symbol
-2.22499401521888	3641	Gm26698	0	NA	predicted gene
-2.22347824599307	3858	Maff	NM_010755	17133	v-maf musculoaponeurotic fibrosarcoma oncogene family
-2.22331520591799	244	Smim3	NM_134133	106878	small integral membrane protein 3 [Source:MGI Symbol
-2.21986218893396	3083	Ifit3b	NM_001005858	667370	interferon-induced protein with tetratricopeptide repeats 3B [Source:MGI Symbol
-2.21051665815892	1893	H2-T-ps	0	NA	histocompatibility 2
-2.20595462305857	2029	Smpdl3b	NM_133888	100340	sphingomyelin phosphodiesterase
-2.20074012249824	1032	Trim6	0	94088	tripartite motif-containing 6 [Source:MGI Symbol
